section_id,cluster_km,cluster_hr,cluster_gm
way/4419934_0,5,0,3
way/7465870_1,2,4,2
way/7467942_2,4,4,4
way/7467944_3,0,0,0
way/7467959_4,3,0,3
way/7468424_5,3,3,3
way/7468434_6,5,0,5
way/7468435_7,0,0,0
way/7468437_8,4,4,4
way/7468438_9,5,0,0
way/7468441_10,0,0,0
way/7468442_11,0,0,0
way/7468446_12,0,0,0
way/7468457_13,3,3,3
way/7468516_14,5,0,0
way/7468518_15,0,0,0
way/7468527_16,1,5,1
way/7468529_17,1,5,1
way/7468535_18,1,5,1
way/7468540_19,0,0,0
way/7468592_20,4,4,4
way/7468598_21,0,5,0
way/7468607_22,1,5,1
way/7468615_23,0,5,0
way/7468617_24,3,3,3
way/7468623_25,0,5,0
way/7468624_26,0,5,0
way/7468631_27,5,0,5
way/7468632_28,3,4,3
way/7468634_29,4,0,4
way/7468653_31,0,0,4
way/7468656_32,0,0,0
way/7468666_33,0,0,0
way/7468667_34,0,5,0
way/7468679_35,0,0,0
way/7468704_37,1,5,1
way/7468712_38,5,5,0
way/7468718_39,1,5,1
way/7468720_40,0,5,0
way/7468722_41,5,3,5
way/7468729_42,1,5,1
way/7468733_43,5,0,5
way/7468737_44,1,5,1
way/7468738_45,0,4,0
way/7468743_46,0,5,0
way/7468753_47,0,0,0
way/7468763_48,0,5,0
way/7468766_49,5,0,5
way/7468778_52,0,5,0
way/7468793_53,0,0,0
way/7468813_55,2,3,2
way/7468829_56,4,4,4
way/7468830_57,3,3,3
way/7468832_58,3,3,3
way/7468834_59,2,2,2
way/7468842_61,0,0,0
way/7468843_62,3,3,3
way/7468867_63,2,3,2
way/7468871_64,2,2,2
way/7477806_65,3,3,3
way/7477809_66,5,5,5
way/7477967_67,4,4,4
way/7478195_69,3,3,3
way/7478237_70,3,3,3
way/7531946_72,2,2,2
way/7534638_74,2,4,2
way/7536672_75,3,3,3
way/7536676_76,4,3,4
way/7536693_77,4,4,4
way/7536815_78,2,4,2
way/7536837_79,3,4,3
way/7536840_80,0,0,0
way/7536846_81,3,4,3
way/7536850_82,2,2,2
way/7536854_83,0,0,0
way/7537062_84,4,4,4
way/7537205_85,3,3,2
way/7537208_86,0,5,0
way/7537213_87,3,3,3
way/7537223_88,1,5,0
way/7537227_89,1,5,1
way/7537233_90,1,0,1
