name,region,country,country_code,population,surface,images,executed,processed,aggregated,density,folder,B_n_nodes,B_m_street,B_bicycle_det,B_car_det,B_bus_det,B_motorcycle_det,B_truck_det,B_parking meter_det,B_bench_det,B_residential_lu,B_grass_lu,B_forest_lu,B_cemetery_lu,ind,folder2,t_n_nodes,t_m_street,t_bicycle_det,t_car_det,t_bus_det,t_motorcycle_det,t_truck_det,t_parking meter_det,t_bench_det,t_residential_lu,t_grass_lu,t_forest_lu,t_cemetery_lu
The Hague,Zuid-Holland,the Netherlands,NL,552995,82.45,589732,1,1,1,6707.0345664038805,The Hague_NL,0.011398387901020332,0.000690204162065083,0.32775097678975024,-0.006928215703167926,0.6510797816328523,0.9547264861913304,0.24069120145305695,1.1255109293888053,0.9039085778961452,-2.9120542556069764e-06,-1.9807734209909675e-05,-1.7342161414714668e-05,2.659898254042634e-06,0.0,/Users/francisco/Developer/Cities/The Hague_NL,6.450699921441789,15.178478002106024,29.926454177605937,-6.987935919593446,9.158653744024372,23.433678827308025,7.442579944284504,3.255534403585528,18.565783528945502,-1.59643533364805,-5.810066472944336,-5.353246808567381,0.23331347747991665
Amersfoort,Utrecht,the Netherlands,NL,158712,62.62,284510,1,1,1,2534.52571063558,Amersfoort_NL,0.008309656344075603,0.00022857238102786705,0.4097653220030456,0.004385470763555365,0.2903730899812601,0.7770790337826099,-0.040967491499022936,-0.1689839764105721,0.23455736205574762,6.0993757868015604e-06,-2.1074377887022366e-07,-1.6004736977893309e-06,2.125755859726284e-05,1.0,/Users/francisco/Developer/Cities/Amersfoort_NL,5.517898393679342,6.9445924204692995,30.044437699363577,5.056109111385945,5.187686899509639,19.979290678290262,-1.972733979324587,-1.1299598497123227,7.854952397019207,5.682671827135391,-0.2390209845816833,-0.9926352729316265,1.198974659540023
Amstelveen,Noord-Holland,the Netherlands,NL,92351,41.13,202047,1,1,1,2245.344031120836,Amstelveen_NL,0.002311071098769678,0.0003347950707051387,0.5852420235244432,0.002082314809462457,1.0278757811289727,0.23925941508567852,-0.04155285264243374,1.8370905185333712,0.13172783823691545,-5.029660808287505e-06,5.963660418328829e-07,2.4471719219939057e-06,4.557960199445627e-06,2.0,/Users/francisco/Developer/Cities/Amstelveen_NL,1.4406026003964534,9.049453168840085,35.786619488997154,1.9569891254530007,13.409921551117579,3.9270017674966415,-1.159213544224804,6.289280602424527,5.480419586755153,-3.064938501466683,0.5812566368486708,1.1328899518176176,0.09827447955760865
Delft,Zuid-Holland,the Netherlands,NL,104468,22.65,143396,1,1,1,4612.273730684327,Delft_NL,0.0032032288210725266,0.00049296209816687,0.38354212886928096,-0.006262415724117621,0.5647880860138682,0.39943216705801976,0.11557415842141389,-0.2212108076563859,0.6236203186369587,7.453765817609258e-06,-7.122131021802979e-06,-1.0058099751421056e-05,-2.7500139928073683e-05,3.0,/Users/francisco/Developer/Cities/Delft_NL,1.2213447054561988,7.556676399240235,31.041543921778914,-4.246607547717937,5.3816933762552575,9.402786161279161,2.4928044459316747,-0.7764994009701585,9.659085629488198,3.1704157809019438,-2.3240750424313887,-2.153917461895294,-1.5884449642202956
Dordrecht,Zuid-Holland,the Netherlands,NL,119576,78.54,210610,1,1,1,1522.4853577794754,Dordrecht_NL,0.017170506415151488,7.334657177015465e-05,0.9807968952321399,-0.0025933368978032553,0.4924676790317012,0.5090119765224743,0.0237029150797114,-0.25317069916566715,0.15900022121876878,9.680128834899635e-06,-8.765619094977329e-07,-1.2208251606413717e-06,-9.873672505521945e-06,4.0,/Users/francisco/Developer/Cities/Dordrecht_NL,11.704749466638361,2.6503208127184443,62.80329737389609,-3.6239874132709535,10.017716276867503,10.105947521629645,1.4837071135762026,-1.1131927970600972,7.214667797076065,9.165368974861096,-1.1176199968310954,-1.1000611427736882,-1.0605956118401814
Eindhoven,Noord-Brabant,the Netherlands,NL,238478,87.66,534441,1,1,1,2720.488250057039,Eindhoven_NL,0.012770611784172419,0.00020095347736764525,0.3968575935202263,0.0028742519513260223,0.05758349636196528,0.8543426284544193,0.0522112245734155,0.15311986083886783,0.384520369513186,2.697240386482786e-06,-2.8018496101350515e-06,-2.155263149459228e-06,-6.222165110164526e-06,5.0,/Users/francisco/Developer/Cities/Eindhoven_NL,7.665262539509545,5.4478843740563745,32.420580644117294,3.489067785931085,1.3593864119029226,15.650097209969875,2.2897115435493887,0.5935293551391133,10.939766063155563,2.3325496323701986,-1.7866713089485082,-1.2261714873394671,-0.5229345486386396
Gorinchem,Zuid-Holland,the Netherlands,NL,37635,18.83,61012,1,1,1,1998.6723313860862,Gorinchem_NL,0.007480057061383638,0.00010972881270868459,0.2179584723234589,0.0075108980644526604,0.14497320153254045,1.0607050769561543,-0.015455665401591396,0.38673239652860897,0.44248030753046474,6.602476185836047e-06,6.320375213328221e-07,-2.62630919562973e-06,1.2399688197246773e-05,6.0,/Users/francisco/Developer/Cities/Gorinchem_NL,3.9163223106335776,2.430900468217763,12.64691850908914,5.973865867977736,2.0200384762122088,12.672961499874893,-0.6036461864327894,0.9822139690840133,8.140728457952742,4.085442924229965,0.5258930791047904,-0.5584568480472755,0.8519961675577192
Gouda,Zuid-Holland,the Netherlands,NL,74165,16.5,78900,1,1,1,4494.848484848485,Gouda_NL,0.00012655287796999298,0.00046788177451485396,0.40498151172202757,-0.004849142632143942,0.27661190266413715,1.5442421431015105,-0.04154410798489574,0.6229292635354025,0.33154892254533386,1.1806301369834644e-05,-3.900148819933553e-07,-6.421241738434444e-06,9.333541693326869e-08,7.0,/Users/francisco/Developer/Cities/Gouda_NL,0.031618673550684505,5.304304155277892,17.492677082774453,-2.4628855536224536,2.7128817702179644,17.365042874971625,-0.6651200762483255,1.487885942718573,4.108557514867833,3.859751221977554,-0.09683637567233278,-0.44142811816559213,0.0033430059273776044
Haarlem,Noord-Holland,the Netherlands,NL,162914,29.17,188482,1,1,1,5584.984573191635,Haarlem_NL,0.017346216424010092,0.0002445503875294465,0.30211267035119954,-0.005795877527880542,1.0452708164550968,0.8025809544267161,0.0738583297021122,0.09933222002339705,0.40225753326572417,1.6157817215688852e-05,-1.186714126738368e-06,-1.3905821709410655e-05,-1.3783345907881599e-05,8.0,/Users/francisco/Developer/Cities/Haarlem_NL,5.51498694473529,3.3888554677104445,22.765954107754133,-4.442440709972251,11.353468723381686,12.980183707349713,1.8177580841023744,0.24292857815536936,6.659163171163029,6.9177977354715665,-0.36835120775448893,-2.085588965736462,-0.8275674406307754
Halderberge,Noord-Brabant,the Netherlands,NL,30771,74.47,90180,1,1,1,413.1999462870955,Halderberge_NL,-0.0010869094618225217,0.0001701295663983825,0.26526783233234186,0.015758875464144763,-0.09510363742885879,0.25882275907148455,0.03912111373404739,0.2333270372820362,0.013610804630051161,3.988720127354417e-06,3.359572631237619e-07,-2.3617902694014604e-07,-8.408320719161457e-06,9.0,/Users/francisco/Developer/Cities/Halderberge_NL,-0.9005426763070778,8.402814195430278,13.949990699520932,16.628943896738075,-2.249817289981459,5.81821769548831,2.8510692696559983,0.33712126984320206,1.2792145131824446,6.938916145628436,0.894181346944443,-0.2377701340260591,-0.9667866183870543
