Municipality,CBS code,Province,Population,Surface km2
Aa en Hunze,1680,Drenthe,25399,276.09
Aalsmeer,358,North Holland,31991,20.12
Aalten,197,Gelderland,27120,96.54
Achtkarspelen,59,Friesland,27900,102.23
Alblasserdam,482,South Holland,20136,8.78
Albrandswaard,613,South Holland,25814,21.69
Alkmaar,361,North Holland,109896,110.46
Almelo,141,Overijssel,73132,67.27
Almere,34,Flevoland,214715,129.19
Alphen aan den Rijn,484,South Holland,112587,126.23
Alphen-Chaam,1723,North Brabant,10373,93.04
Altena,1959,North Brabant,56352,200.63
Ameland,60,Friesland,3746,59.11
Amersfoort,307,Utrecht,157462,62.62
Amstelveen,362,North Holland,90829,41.13
Amsterdam,363,North Holland,"893,783[e]",188.29
Apeldoorn,200,Gelderland,164781,339.89
Arnhem,202,Gelderland,162424,97.82
Assen,106,Drenthe,68836,81.89
Asten,743,North Brabant,16817,70.17
Baarle-Nassau,744,North Brabant,6899,76.14
Baarn,308,Utrecht,24792,32.54
Barendrecht,489,South Holland,48643,19.75
Barneveld,203,Gelderland,59992,175.9
Beek,888,Limburg,15875,21.03
Beekdaelen,1954,Limburg,36065,78.3
Beesel,889,Limburg,13450,27.99
Berg en Dal,1945,Gelderland,35010,86.31
Bergeijk,1724,North Brabant,18754,101.0
Bergen (LI),893,Limburg,13108,103.24
Bergen (NH),373,North Holland,29715,98.96
Bergen op Zoom,748,North Brabant,67514,79.96
Berkelland,1859,Gelderland,43846,258.06
Bernheze,1721,North Brabant,31455,89.73
Best,753,North Brabant,30216,34.3
Beuningen,209,Gelderland,26157,43.65
Beverwijk,375,North Holland,41863,18.4
Bladel,1728,North Brabant,20529,75.33
Blaricum,376,North Holland,11954,11.11
Bloemendaal,377,North Holland,23478,39.79
Bodegraven-Reeuwijk,1901,South Holland,35278,75.38
Boekel,755,North Brabant,10959,34.51
Borger-Odoorn,1681,Drenthe,25598,274.53
Borne,147,Overijssel,23668,26.0
Borsele,654,Zeeland,22818,141.57
Boxtel,757,North Brabant,32973,69.08
Breda,758,North Brabant,184126,125.74
Brielle,501,South Holland,17439,27.55
Bronckhorst,1876,Gelderland,36087,283.5
Brummen,213,Gelderland,20884,83.65
Brunssum,899,Limburg,27670,17.25
Bunnik,312,Utrecht,15341,36.97
Bunschoten,313,Utrecht,22019,30.38
Buren,214,Gelderland,27009,133.89
Capelle aan den IJssel,502,South Holland,67319,14.14
Castricum,383,North Holland,36086,49.68
Coevorden,109,Drenthe,35317,296.07
Cranendonck,1706,North Brabant,21001,76.4
Culemborg,216,Gelderland,29121,29.29
Dalfsen,148,Overijssel,28901,165.07
Dantumadiel,1891,Friesland,18943,84.66
De Bilt,310,Utrecht,43384,66.12
De Fryske Marren,1940,Friesland,51778,351.29
De Ronde Venen,736,Utrecht,44720,99.92
De Wolden,1690,Drenthe,24374,224.55
Delft,503,South Holland,103581,22.65
Den Helder,400,North Holland,56582,45.25
Deurne,762,North Brabant,32437,116.93
Deventer,150,Overijssel,101236,130.68
Diemen,384,North Holland,31334,11.99
Dijk en Waard,1980,North Holland,"86,722[f]",62.09
Dinkelland,1774,Overijssel,26606,175.71
Doesburg,221,Gelderland,11064,11.53
Doetinchem,222,Gelderland,58270,79.05
Dongen,766,North Brabant,26368,29.24
Dordrecht,505,South Holland,119115,78.54
Drechterland,498,North Holland,19838,58.89
Drimmelen,1719,North Brabant,27325,95.18
Dronten,303,Flevoland,42011,333.57
Druten,225,Gelderland,18991,37.64
Duiven,226,Gelderland,25066,33.9
Echt-Susteren,1711,Limburg,31751,103.07
Edam-Volendam,385,North Holland,36268,54.33
Ede,228,Gelderland,118530,318.18
Eemnes,317,Utrecht,9362,31.04
Eemsdelta,1979,Groningen,45587,267.89
Eersel,770,North Brabant,19528,82.46
Eijsden-Margraten,1903,Limburg,25900,77.55
Eindhoven,772,North Brabant,235691,87.66
Elburg,230,Gelderland,23429,63.82
Emmen,114,Drenthe,107024,335.18
Enkhuizen,388,North Holland,18637,12.68
Enschede,153,Overijssel,159732,140.83
Epe,232,Gelderland,33198,156.07
Ermelo,233,Gelderland,27016,85.63
Etten-Leur,777,North Brabant,43869,55.3
Geertruidenberg,779,North Brabant,21770,26.63
Geldrop-Mierlo,1771,North Brabant,40066,31.01
Gemert-Bakel,1652,North Brabant,30760,122.14
Gennep,907,Limburg,17035,47.62
Gilze en Rijen,784,North Brabant,26723,65.38
Goeree-Overflakkee,1924,South Holland,50589,260.48
Goes,664,Zeeland,38594,92.58
Goirle,785,North Brabant,23952,42.99
Gooise Meren,1942,North Holland,58524,41.59
Gorinchem,512,South Holland,37410,18.83
Gouda,513,South Holland,73681,16.5
Groningen,14,Groningen,233273,185.6
Gulpen-Wittem,1729,Limburg,14206,73.18
Haaksbergen,158,Overijssel,24229,104.82
Haarlem,392,North Holland,162543,29.17
Haarlemmermeer,394,North Holland,157789,197.48
Halderberge,1655,North Brabant,30430,74.47
Hardenberg,160,Overijssel,61357,312.28
Harderwijk,243,Gelderland,48726,38.89
Hardinxveld-Giessendam,523,South Holland,18413,16.91
Harlingen,72,Friesland,15807,24.96
Hattem,244,Gelderland,12228,23.08
Heemskerk,396,North Holland,39191,27.34
Heemstede,397,North Holland,27545,9.18
Heerde,246,Gelderland,18776,78.74
Heerenveen,74,Friesland,50650,190.09
Heerlen,917,Limburg,86936,44.94
Heeze-Leende,1658,North Brabant,16243,104.02
Heiloo,399,North Holland,24144,18.7
Hellendoorn,163,Overijssel,35932,137.91
Hellevoetsluis,530,South Holland,40312,41.1
Helmond,794,North Brabant,92627,53.18
Hendrik-Ido-Ambacht,531,South Holland,31258,10.61
Hengelo,164,Overijssel,81049,60.84
's-Hertogenbosch,796,North Brabant,155490,109.99
Het Hogeland,1966,Groningen,47834,482.49
Heumen,252,Gelderland,16569,39.76
Heusden,797,North Brabant,45005,78.88
Hillegom,534,South Holland,22197,12.87
