name,region,country,country_code,logs,tag:name1,tag:kind1,tag:tag1,tag:name2,tag:kind2,tag:tag2,boundary_opt,network_type,street_types,gap_grid,zone_grid,download_images,city_accuracy,executed
Leiden,Zuid-Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Rotterdam,Zuid-Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Haarlem,Noord-Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Amsterdam,Noord-Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Delft,Zuid-Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Zoetermeer,Zuid-Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Nijmegen,Gelderland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Schiedam,Zuid-Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Gouda,Zuid-Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Purmerend,Noord-Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
's-Gravenhage,Zuid-Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Amersfoort,Utrecht,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Maastricht,Limburg,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Eindhoven,Noord-Brabant,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Amstelveen,Noord-Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
Utrecht,Utrecht,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",landuse,polygon,"{""landuse"": ""True""}",region,all,all,50,boundary,1,1,0
