name,region,country,country_code,logs,tag:name1,tag:kind1,tag:tag1,tag:name2,tag:kind2,tag:tag2,boundary_opt,network_type,street_types,gap_grid,zone_grid,download_images,city_accuracy,executed
Lochem,Gelderland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Westvoorne,South Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Altena,North Brabant,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Loppersum,,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Eindhoven,North Brabant,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Epe,Gelderland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Staphorst,Overijssel,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Waterland,North Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Roermond,Limburg,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Aa en Hunze,Drenthe,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Ermelo,Gelderland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Renkum,Gelderland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Etten-Leur,North Brabant,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Haarlem,North Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Noordenveld,Drenthe,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Nijmegen,Gelderland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Hillegom,South Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Capelle aan den IJssel,South Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Hellevoetsluis,South Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Montfoort,Utrecht,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Neder-Betuwe,Gelderland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Beuningen,Gelderland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Barendrecht,South Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Middelburg,Zeeland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Voorschoten,South Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Duiven,Gelderland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Mook en Middelaar,Limburg,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Hilversum,North Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Rucphen,North Brabant,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Hoogeveen,Drenthe,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Koggenland,North Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Bergeijk,North Brabant,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Enschede,Overijssel,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,1
Medemblik,North Holland,the Netherlands,NL,1,amenities,point,"{""amenity"": ""True""}",residential,polygon,"{""landuse"": ""residential""}",region,all,all,150,residential,1,1,2
